zip,Longitude,Latitude
10451,-73.91997935,40.82047529
10456,-73.90857828,40.82972803
10457,-73.89776639,40.84796451
10458,-73.88878448,40.86140136
10466,-73.84739639,40.89119431
10469,-73.84825251,40.86979114
10475,-73.82720175,40.87719807
10460,-73.87864434,40.84007789
10463,-73.90565088,40.8809907
10467,-73.86798653,40.87447173
10468,-73.90034993,40.86537775
10462,-73.85797492,40.84284319
10454,-73.91821487,40.80772226
10455,-73.90883523,40.81546018
10472,-73.86880774,40.82975678
10473,-73.85687898,40.81778893
11214,-73.99662355,40.60205423
11215,-73.98387954,40.6672854
11228,-74.01124164,40.61822661
11201,-73.99175794,40.69256579
11204,-73.98592123,40.61878857
11209,-74.0292023,40.62591219
11218,-73.97728832,40.64364495
11219,-73.99660841,40.63265406
11220,-74.01309462,40.64114223
11205,-73.96421994,40.69307671
11206,-73.94306856,40.70161709
11211,-73.94646762,40.72535145
11213,-73.93754696,40.67087024
11216,-73.94940661,40.68060492
11221,-73.92836856,40.69089819
11233,-73.92036618,40.67899795
11238,-73.96358468,40.68105075
11223,-73.97316823,40.59900791
11234,-73.92368246,40.61887507
11235,-73.95172274,40.58628347
11217,-73.97907891,40.682275
11232,-74.00224113,40.6541503
11225,-73.95306777,40.66245039
11229,-73.94436726,40.60025714
11210,-73.94568222,40.62740503
11207,-73.89485666,40.6723507
11231,-74.0003612,40.68021557
11237,-73.91829356,40.70129751
11236,-73.90300854,40.64002094
11227,-73.9764986,40.6847006
11226,-73.9551068,40.64607514
11239,-73.88221745,40.64924644
10003,-73.98865394,40.73149769
10011,-73.99943343,40.74085885
10019,-73.98607533,40.76355723
10036,-73.98927257,40.75946322
10001,-73.99403069,40.74839856
10022,-73.96795368,40.75831498
10024,-73.97561118,40.78628538
10028,-73.9537407,40.77655994
10128,-73.95114475,40.78174063
10165,-81.00938885,41.8582511
10271,-74.01048527,40.70809467
10038,-74.00443352,40.70916641
11422,-73.73551657,40.66353879
11691,-73.75775543,40.60157518
11692,-73.79672915,40.59384151
11101,-73.93882383,40.74844747
11102,-73.92466446,40.77103057
11103,-73.91370683,40.76255596
11104,-73.92121988,40.74400432
11105,-73.90945957,40.77570245
11106,-73.92958718,40.76122611
11361,-73.77426743,40.76334367
11363,-73.74468183,40.77273574
11375,-73.84787459,40.71940848
11377,-73.90438901,40.74481267
11357,-73.8104753,40.78510777
11358,-73.79594035,40.76086165
11360,-73.78226519,40.77988947
11364,-73.75953428,40.74690808
11373,-73.8785455,40.73976559
11421,-73.85778666,40.69104632
11693,-73.81796974,40.59898174
11367,-73.8210636,40.72879742
11694,-73.84674077,40.57741779
11004,-73.71230435,40.74515039
11426,-73.72142542,40.73401948
11428,-73.74251535,40.72130078
11697,-73.91491085,40.55973457
11411,-73.73668049,40.69464223
11415,-73.83132662,40.70676786
11420,-73.81507585,40.67537741
11432,-73.79368525,40.71494872
11435,-73.80841803,40.69962676
11436,-73.79622695,40.67662055
11354,-73.82292111,40.76874739
11429,-73.73952119,40.7090247
